x y z nx ny nz
-0.342925 -0.453986 -0.095238 0.702132 -0.279701 0.654811
-0.345200 -0.460592 -0.095238 0.729130 -0.197425 0.655281
-0.346506 -0.467565 -0.095238 0.742130 -0.118176 0.659755
-0.347148 -0.475132 -0.095238 0.755138 -0.075742 0.651175
-0.347536 -0.482657 -0.095238 0.759902 -0.042498 0.648647
-0.347753 -0.489594 -0.095238 0.767687 -0.028717 0.640181
-0.347904 -0.495371 -0.095238 0.769682 -0.027364 0.637841
-0.348049 -0.500626 -0.095238 0.769064 -0.026967 0.638603
-0.348162 -0.505922 -0.095238 0.767888 -0.028950 0.639930
-0.348190 -0.511796 -0.095238 0.766111 -0.027385 0.642124
-0.348137 -0.518198 -0.095238 0.767660 -0.009334 0.640789
-0.348057 -0.524568 -0.095238 0.773841 0.033704 0.632482
-0.347980 -0.530353 -0.095238 0.775920 0.059950 0.627977
-0.347917 -0.535782 -0.095238 0.781086 0.082728 0.618919
-0.347657 -0.541344 -0.095238 0.783679 0.100540 0.612975
-0.347179 -0.547515 -0.095238 0.792267 0.102529 0.601498
-0.346815 -0.553316 -0.095238 0.796088 0.081198 0.599709
-0.346557 -0.558861 -0.095238 0.791153 0.049448 0.609616
-0.346637 -0.563806 -0.095238 0.786935 0.025032 0.616529
-0.346395 -0.569780 -0.095238 0.785101 0.000498 0.619367
-0.346371 -0.576151 -0.095238 0.775054 -0.017992 0.631638
-0.346228 -0.583675 -0.095238 0.776366 -0.026626 0.629719
-0.346306 -0.591219 -0.095238 0.778263 -0.012715 0.627810
-0.346230 -0.598962 -0.095238 0.781490 0.023895 0.623461
-0.346048 -0.605871 -0.095238 0.782168 0.048740 0.621158
-0.345731 -0.612453 -0.095238 0.788586 0.081179 0.609543
-0.344840 -0.619262 -0.095238 0.779142 0.093607 0.619819
-0.343742 -0.626782 -0.095238 0.853245 0.052989 0.518811
-0.341766 -0.634757 -0.095238 0.818383 0.130198 0.559730
-0.339557 -0.642283 -0.095238 0.792986 0.250491 0.555362
-0.336223 -0.648962 -0.095238 0.664990 0.400081 0.630653
-0.332583 -0.654319 -0.095238 0.622110 0.510491 0.593615
-0.328087 -0.658695 -0.095238 0.557332 0.611300 0.561866
-0.323320 -0.662396 -0.095238 0.498860 0.679892 0.537481
-0.317973 -0.665732 -0.095238 0.377562 0.799070 0.467904
